Publisher Story,Country,Type,Position,Media name,Post time,Expiration time,Duration (hrs),Topsnap views,Attachment views,Total time viewed (sec),Topsnap time viewed (sec),Attachment time viewed (sec),Average time viewed per user (sec),Average time per topsnap view (sec),Average time per attachment view (sec),Unique viewers,Unique completers,Completion rate,Unique topsnap views,Unique attachment viewers,Attachment conversion rate,Subscribers added,Unique sharers,Shares,Viewers from shares,Screenshots,Males,Females,Unknown gender,13-17,18-24,25-34,35+,Unknown age,Tags,Drop-off rate,Unique topsnaps per user,Topsnap duration (sec),Number of tiles,Attachment type,SnapId,EditionId
44973.4188,GLOBAL,PUBLISHER_STORY,,SNAP-1,2/16/23 17:00,2/21/23 14:01,117,721022,BELOW_MINIMUM,3574477,3574477,0,110.2689,4.9575,,32416,5139,0.1585,645739,BELOW_MINIMUM,0,363,59,8,BELOW_MINIMUM,141,19472,12736,426,2590,8989,13604,7027,424,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,,19.9204,,1,,All,2.41E+15
44973.4188,GLOBAL,SNAP,1,SNAP-2,2/16/23 17:00,2/21/23 14:01,117,37909,BELOW_MINIMUM,151559.8906,151559.8906,0,4.7687,3.998,NaN,31782,31773,0.9997,31859,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,8,18772,12441,411,2480,8699,13161,6874,410,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.17,,5,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,2,SNAP-3,2/16/23 17:00,2/21/23 14:01,117,29720,BELOW_MINIMUM,110244.4922,110244.4922,0,4.1926,3.7094,NaN,26295,26295,1,26434,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,15324,10444,338,1852,7008,10973,5936,337,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.1396,,6,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,3,SNAP-4,2/16/23 17:00,2/21/23 14:01,117,24174,BELOW_MINIMUM,106030.5,106030.5,0,4.72,4.3861,NaN,22464,22464,1,22276,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,6,13007,9098,288,1439,5844,9514,5309,287,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0486,,5,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,4,SNAP-5,2/16/23 17:00,2/21/23 14:01,117,22155,BELOW_MINIMUM,62372.8125,62372.8125,0,2.9531,2.8153,NaN,21121,21121,1,21149,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,12058,8567,273,1329,5401,8847,5049,272,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0241,,3,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,5,SNAP-6,2/16/23 17:00,2/21/23 14:01,117,19467,BELOW_MINIMUM,139849.125,139849.125,0,7.475,7.1839,NaN,18709,18709,1,18403,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,10492,7785,261,1240,4700,7788,4550,260,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0211,,3,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,6,SNAP-7,2/16/23 17:00,2/21/23 14:01,117,19096,BELOW_MINIMUM,61486.0625,61486.0625,0,3.3798,3.2198,NaN,18192,18192,1,18257,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,10150,7631,255,1203,4554,7590,4435,254,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0143,,3,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,7,SNAP-8,2/16/23 17:00,2/21/23 14:01,117,18443,BELOW_MINIMUM,52903.9375,52903.9375,0,2.9648,2.8685,NaN,17844,17844,1,17735,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,9887,7468,249,1169,4441,7409,4337,248,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0157,,3,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,8,SNAP-9,2/16/23 17:00,2/21/23 14:01,117,18216,BELOW_MINIMUM,46906.4102,46906.4102,0,2.6726,2.575,NaN,17551,17551,1,17361,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,9735,7367,247,1141,4368,7304,4290,246,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0066,,3,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,9,SNAP-10,2/16/23 17:00,2/21/23 14:01,117,18592,BELOW_MINIMUM,60094.4297,60094.4297,0,3.4593,3.2323,NaN,17372,17372,1,16965,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,9616,7304,245,1127,4313,7229,4252,244,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0072,,3,0,NONE,1.44E+15,2.41E+15
44973.4188,GLOBAL,SNAP,10,SNAP-11,2/16/23 17:00,2/21/23 14:01,117,19402,BELOW_MINIMUM,89596.2031,89596.2031,0,5.1934,4.6179,NaN,17252,17252,1,17279,BELOW_MINIMUM,0,,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,BELOW_MINIMUM,9526,7232,244,1111,4263,7166,4219,243,Courtroom drama | Crime in the United States | Football | Sex-Related Crimes | Soccer | True Crime Fandom | True crime,0.0125,,5,0,NONE,1.44E+15,2.41E+15
