TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
Gonzaga,Gonzaga,WCC,MM,28,5,3,86.5,12.6,32,61.3,1.18,1.008,58.5,121.3,38.4,58.9,70.2,7.7,20.1,8.9,24.3,36.3,29.5,76.6,53.2,3.3,7.3,16.3,10.5,1.548,0.844,0.714,73.3,16.8,73.9,-12.6,44.8,51.7,35,51.2,73.5,109.2,12.2,13.5,0.905,0.64,10.6,0.1,6,8,24.31,124,99.7,70.1,0.047,7.49,110.2,102.7,8.31
S Dakota St,South Dakota St.,Sum,MM,19,13,0,70.5,0.3,25.2,56,1.013,1.01,51.7,111,35.1,51.2,79.5,7.5,21.4,5.6,23.7,32.1,18.9,76,48.5,2.9,5.3,10.5,11.7,0.903,0.581,0.8,69.6,14.4,70.2,-0.3,44.2,50.9,33.2,51.7,76.1,107.6,12.7,11.8,1.082,-0.18,8.2,-3.5,155,166,0.18,105.2,105,66.6,0.066,-1.74,105.1,106.8,8.66
Arizona,Arizona,P12,P5,28,6,2,82.7,11.2,29.4,59.3,1.111,0.961,56.8,118.9,38.2,56.6,70.9,8.6,22.5,8.8,27.3,39.4,29,75.7,54.3,3.2,6.1,19.2,13.4,1.433,0.824,0.833,74.4,17,71.5,-11.2,40.8,47.2,32.8,45.9,71.4,100.5,12.8,12.4,1.033,0.40,9.3,-4.1,10,10,22.86,120,97.1,72.3,0.041,8.83,107.9,99.1,3.47
Iowa,Iowa,B10,P5,19,13,8,80.2,5.8,28.5,62.8,1.118,1.037,51.9,110.7,34.4,52.1,73.9,8.1,23.5,10.4,23.2,36.3,30.3,74.1,51.2,3.4,6.6,16.6,9.9,1.672,0.594,0.375,71.8,14.7,74.4,-5.8,47.4,53.3,36.6,52.6,74.4,111.6,14.5,13,1.113,0.56,10.0,0.1,39,37,15.6,120.5,104.9,69.5,-0.042,9.61,108.9,99.3,-2.09
Oral Roberts,Oral Roberts,Sum,MM,30,4,12,82.5,12.5,29.9,62.7,1.143,0.969,56.1,117.7,37,56.6,78.4,10.6,28.7,7.2,26.1,36,22.6,75,49.7,5.1,6.8,14.3,9.3,1.536,0.867,1,72.2,13.7,69.9,-12.5,41.6,48.5,34.2,46.6,71.9,102.1,11.9,12.4,0.962,0.57,11.9,2.6,36,56,13.25,115.3,102,70.5,0.103,-3.96,104.2,108.1,8.1
Duke,Duke,ACC,P5,26,8,5,72.5,8.6,26,57.6,1.078,0.95,51.1,109.8,33.6,51.4,77,6.9,20.4,10.9,24.9,38.7,35.3,76.4,55.9,4.5,5.7,14.8,12,1.23,0.765,0.778,67.3,15.1,63.9,-8.6,41,46.4,30.6,46.7,76.5,99.8,11.1,11,1.008,0.22,10.2,-1.8,16,21,18.49,113.2,94.8,65.3,0.059,6.78,109.8,103,2.07
Alabama,Alabama,SEC,MM,29,5,1,82.2,13.5,27.8,62.1,1.074,0.897,52.8,112.6,33.8,54.7,72.6,10,29.6,11,29.6,44.2,31.8,76.2,54.4,5,6.1,15.2,14.2,1.073,0.849,1,76.5,18.6,68.7,-13.5,37.4,41.7,27.9,41.6,71,92.3,10.1,11.8,0.856,0.22,11.1,-3.1,2,3,27.54,116.1,88.6,72.7,0.074,11.66,110.9,99.2,10.56
Toledo,Toledo,MAC,MM,27,7,0,85,8.9,30,60.6,1.178,1.055,56.6,120.2,39.9,54.7,77.3,8.6,21.5,8,22.7,34,26.9,69.9,50,2.9,6.9,14.7,9.8,1.509,0.788,1,72.2,16.3,76.2,-8.9,45.7,52.4,35.4,51.9,74.4,110.7,13.4,13,1.033,0.48,9.8,0.0,82,87,9.12,119.6,110.5,69.6,0.042,-3.25,104.1,107.4,-1.18
Purdue,Purdue,B10,P5,29,5,1,73.3,10.6,25.5,55.2,1.112,0.951,52.4,112.8,33.1,54.2,74.6,6.9,20.9,11,25.2,38.6,38,79.8,58.3,3.7,4.8,15.5,11.1,1.397,0.849,0.818,65.9,13.7,62.7,-10.6,41.7,47.2,31.4,47.2,72.8,99.2,12.3,9.9,1.241,0.16,8.5,-2.6,5,7,24.55,119.4,94.8,64.4,0.032,9.84,110.4,100.6,0.95
St Johns,St. John's,BE,P5,18,15,0,77.3,2.2,29.4,65.4,1.013,0.985,49.4,104.4,33.1,49.3,69.9,5.8,17.7,11.6,25.6,40.1,33,74.2,52.9,3.7,8.2,15.2,14,1.082,0.546,0.286,76.3,16.2,75.2,-2.2,43.4,50.2,34.5,49.2,72,106.8,15.4,14.7,1.047,0.04,11.9,-2.1,98,85,9.46,107.9,98.5,73.5,-0.013,6.76,108.3,101.5,-7.72
Wake Forest,Wake Forest,ACC,P5,19,14,0,76.6,2.8,26.6,57.8,1.065,1.025,54.2,114.9,36.4,54,74.6,9.5,26.2,6.7,24.3,34.2,21.8,74.6,49.4,2.7,6,13.5,12.1,1.113,0.576,0.462,72,16,73.8,-2.8,44.8,51.6,35,51,71.9,108.6,12.5,12.2,1.022,0.09,8.7,-3.4,90,88,8.57,112.1,103.5,69.6,-0.012,4.94,108,103.1,-2.2
Kentucky,Kentucky,SEC,MM,21,11,6,75.1,7,27.5,60,1.086,0.984,51.2,108.4,35.4,50.4,70.3,6.4,18,11.8,24.4,39,37.2,77.8,56.3,3.8,6.5,15.3,11.7,1.314,0.656,0.667,69.1,16.1,68,-7,42.9,48.8,33.1,48.3,74.4,104.9,11.7,11.3,1.036,0.28,10.3,-1.4,26,28,17.8,117.4,99.6,66,-0.014,8.65,109.4,100.7,0.8
